#query	EC	reference GO
comp2216_c0_seq5_FPKM_all:84.273_FPKM_rel:76.823_len:353_path:[5366,5533,5594].1	EC:3	GO:0016787
comp2120_c0_seq2_FPKM_all:52.907_FPKM_rel:48.956_len:683_path:[443,1236,569,1126,973].1	EC:1	GO:0016491
comp16687_c0_seq1_FPKM_all:7.723_FPKM_rel:7.723_len:429_path:[0].1	EC:4.2.1.1	GO:0004089
comp1122_c0_seq1_FPKM_all:148.441_FPKM_rel:148.441_len:3189_path:[0].1	EC:1	GO:0016491
comp1184_c0_seq1_FPKM_all:187.062_FPKM_rel:187.062_len:2061_path:[0].1	EC:1	GO:0016491
comp1910_c0_seq1_FPKM_all:128.236_FPKM_rel:128.236_len:1304_path:[0,141,164,1363,227].3	EC:1	GO:0016491
comp8697_c1_seq1_FPKM_all:9.595_FPKM_rel:5.706_len:1616_path:[0,115,117,271].1	EC:2.4.1	GO:0016758
comp33478_c0_seq1_FPKM_all:2.047_FPKM_rel:2.047_len:367_path:[0].1	EC:1	GO:0016491
comp11609_c0_seq1_FPKM_all:2.891_FPKM_rel:2.891_len:319_path:[0,4095,173].1	EC:3	GO:0016787
comp11260_c0_seq1_FPKM_all:9.686_FPKM_rel:9.686_len:469_path:[501,661,689,852].1	EC:3	GO:0016787
comp11009_c0_seq1_FPKM_all:11.141_FPKM_rel:11.141_len:420_path:[2727,242,3038,296,345].1	EC:3.4.16	GO:0004185
comp11841_c0_seq1_FPKM_all:8.639_FPKM_rel:6.831_len:340_path:[521,654,693].1	EC:1.1.1	GO:0016616
comp10929_c0_seq2_FPKM_all:8.861_FPKM_rel:2.299_len:1723_path:[0,1764,225,1065].1	EC:5	GO:0016853
comp7294_c0_seq1_FPKM_all:20.636_FPKM_rel:20.636_len:2615_path:[0].1	EC:3.2.1	GO:0004553
comp7228_c0_seq2_FPKM_all:22.64_FPKM_rel:8.065_len:1931_path:[0,1720,2302,2307,2309,2326,2333,1871].2	EC:2.3.1	GO:0016747
comp5870_c0_seq2_FPKM_all:32.938_FPKM_rel:19.463_len:365_path:[886,1038,1042].1	EC:1	GO:0016491
comp5269_c0_seq7_FPKM_all:12.762_FPKM_rel:10.969_len:1124_path:[2384,1051,1329].1	EC:1	GO:0016491
comp4108_c0_seq1_FPKM_all:39.535_FPKM_rel:21.693_len:603_path:[0,131,172,479,501,539].1	EC:3.2.1	GO:0004553
comp15081_c0_seq1_FPKM_all:3.795_FPKM_rel:3.795_len:414_path:[1339,527,1229].1	EC:3	GO:0016787
comp15542_c0_seq2_FPKM_all:6.235_FPKM_rel:3.178_len:849_path:[127,1708,164,1610].1	EC:3.2.1.55	GO:0046556
comp15125_c0_seq1_FPKM_all:8.232_FPKM_rel:8.232_len:809_path:[0].1	EC:2.7.1.127	GO:0008440
comp21028_c0_seq1_FPKM_all:3.841_FPKM_rel:3.841_len:489_path:[0].1	EC:4.2.1.10	GO:0003855
comp20721_c0_seq1_FPKM_all:3.866_FPKM_rel:3.866_len:857_path:[0,857,431].1	EC:1	GO:0016491
comp21770_c0_seq1_FPKM_all:3.327_FPKM_rel:3.327_len:852_path:[0].1	EC:4.1	GO:0016830
comp21079_c0_seq1_FPKM_all:3.679_FPKM_rel:3.679_len:1077_path:[0,1101,752].1	EC:2.7.1.105	GO:0003873
comp21019_c0_seq1_FPKM_all:4.462_FPKM_rel:4.462_len:666_path:[0].1	EC:1	GO:0016491
comp13095_c0_seq4_FPKM_all:9.481_FPKM_rel:4.846_len:1621_path:[0,297,1112,1189,1522,1560].2	EC:2.4.1	GO:0016758
comp13947_c0_seq5_FPKM_all:6.097_FPKM_rel:1.812_len:2224_path:[0,2774,2779,1840,2414].1	EC:2.4.1.12	GO:0016760
comp3018_c0_seq2_FPKM_all:38.496_FPKM_rel:14.729_len:8086_path:[0,9,7849,6247,7679,6320,6524].2	EC:2.7.1.71	GO:0004765
comp2827_c0_seq1_FPKM_all:58.84_FPKM_rel:30.388_len:2965_path:[0,1198].1	EC:1	GO:0016491
comp2216_c0_seq6_FPKM_all:73.188_FPKM_rel:47.235_len:329_path:[5594,5719,5741].1	EC:3	GO:0016787
comp2003_c0_seq1_FPKM_all:120.249_FPKM_rel:120.249_len:1734_path:[0].1	EC:3.5.4.25	GO:0003935
comp26259_c0_seq1_FPKM_all:4.184_FPKM_rel:4.184_len:302_path:[0].1	EC:2.7.1.107	GO:0004143
comp28137_c0_seq1_FPKM_all:2.289_FPKM_rel:2.289_len:388_path:[0].1	EC:1.13.11	GO:0016702
comp1122_c0_seq1_FPKM_all:148.441_FPKM_rel:148.441_len:3189_path:[0].2	EC:1.1.1	GO:0016616
comp1983_c0_seq1_FPKM_all:145.429_FPKM_rel:145.429_len:1283_path:[0].1	EC:1.1.1	GO:0016616
comp692_c0_seq1_FPKM_all:232.122_FPKM_rel:232.122_len:2302_path:[0].1	EC:2.3.3	GO:0046912
comp1175_c0_seq1_FPKM_all:187.234_FPKM_rel:187.234_len:1444_path:[0,669,682].1	EC:1	GO:0016491
comp632_c0_seq1_FPKM_all:160.803_FPKM_rel:160.803_len:4019_path:[0].1	EC:3.4.21	GO:0004252
comp1430_c0_seq1_FPKM_all:119.579_FPKM_rel:119.579_len:2616_path:[0].1	EC:3.2.1	GO:0004553
comp8175_c0_seq1_FPKM_all:20.982_FPKM_rel:20.982_len:1439_path:[0,105,134,842,846].1	EC:1	GO:0016491
comp9070_c0_seq1_FPKM_all:18.869_FPKM_rel:18.869_len:1334_path:[0,1266,1284].1	EC:3.2.1.15	GO:0004650
comp8033_c0_seq1_FPKM_all:26.876_FPKM_rel:26.876_len:1220_path:[0].1	EC:1	GO:0016491
comp8775_c0_seq1_FPKM_all:14.483_FPKM_rel:8.984_len:441_path:[480,4942,4974,695].1	EC:3	GO:0016787
comp8909_c0_seq2_FPKM_all:24.656_FPKM_rel:14.559_len:1485_path:[18,1286,560].2	EC:1	GO:0016491
comp8697_c1_seq2_FPKM_all:8.583_FPKM_rel:4.47_len:1528_path:[5125,5217,5223,271].1	EC:2.4.1	GO:0016758
comp37762_c0_seq1_FPKM_all:1.552_FPKM_rel:1.552_len:462_path:[0].1	EC:3.4.21	GO:0004252
comp37739_c0_seq1_FPKM_all:1.682_FPKM_rel:1.682_len:406_path:[0].1	EC:2.4.1.198	GO:0017176
comp35407_c0_seq1_FPKM_all:2.388_FPKM_rel:2.388_len:472_path:[0].1	EC:1.1.1.145	GO:0003854
comp11930_c0_seq1_FPKM_all:8.187_FPKM_rel:4.075_len:947_path:[750,837,2463,882,999,1290,1330,1662].1	EC:2.7.7	GO:0016779
comp11219_c0_seq1_FPKM_all:14.383_FPKM_rel:14.383_len:1952_path:[0].1	EC:2.5.1.8	GO:0004811
comp11841_c0_seq2_FPKM_all:6.786_FPKM_rel:5.977_len:760_path:[693,861,1486,948].1	EC:1.1.1	GO:0016616
comp11962_c0_seq1_FPKM_all:4.941_FPKM_rel:1.647_len:477_path:[0,115,221,1516].1	EC:5.3.1.6	GO:0004751
comp7435_c0_seq6_FPKM_all:23.684_FPKM_rel:11.8_len:411_path:[839,2378,1083].1	EC:1.14.99.3	GO:0004392
comp7170_c0_seq1_FPKM_all:22.629_FPKM_rel:22.629_len:3648_path:[0].1	EC:2.7.7.7	GO:0003887
comp6939_c0_seq1_FPKM_all:31.64_FPKM_rel:16.894_len:1304_path:[0,36,871].1	EC:1	GO:0016491
comp5068_c0_seq1_FPKM_all:41.277_FPKM_rel:41.277_len:1803_path:[0].1	EC:6.3.5	GO:0016884
comp5804_c0_seq1_FPKM_all:38.592_FPKM_rel:38.592_len:1570_path:[0].1	EC:3.2.1	GO:0004553
comp4108_c0_seq2_FPKM_all:67.004_FPKM_rel:67.004_len:602_path:[1026,1073,1090,1653,1510].1	EC:3.2.1	GO:0004553
comp5593_c0_seq1_FPKM_all:34.339_FPKM_rel:17.562_len:2217_path:[0,1070].1	EC:1	GO:0016491
comp20408_c0_seq1_FPKM_all:3.338_FPKM_rel:2.91_len:399_path:[286,685,460].1	EC:3.4.16	GO:0004185
comp13092_c0_seq1_FPKM_all:9.11_FPKM_rel:9.11_len:851_path:[0].2	EC:1.8.4.11	GO:0008113
comp12916_c0_seq1_FPKM_all:6.512_FPKM_rel:4.642_len:493_path:[813,896,1463,1068].1	EC:3.2.1.1	GO:0004556
comp31016_c0_seq1_FPKM_all:1.66_FPKM_rel:1.66_len:391_path:[0].1	EC:2.7.7	GO:0016779
comp2271_c0_seq1_FPKM_all:51.459_FPKM_rel:6.915_len:2025_path:[0,3308,2984,2995,232,1081,1122,1940,1634].2	EC:2	GO:0016740
comp2736_c1_seq6_FPKM_all:12.847_FPKM_rel:2.547_len:1542_path:[0,756,5459,780,4210].1	EC:1	GO:0016491
comp2935_c0_seq6_FPKM_all:74.515_FPKM_rel:38.685_len:897_path:[0,116,4569,4582,3143,180,282,3024].1	EC:4.1.2.13	GO:0004332
comp29584_c0_seq1_FPKM_all:2.549_FPKM_rel:2.549_len:469_path:[0].1	EC:3.2.2.20	GO:0008725
comp17270_c0_seq1_FPKM_all:4.775_FPKM_rel:4.775_len:980_path:[0].2	EC:1	GO:0016491
comp16630_c0_seq1_FPKM_all:3.564_FPKM_rel:2.277_len:345_path:[179,1169,377].1	EC:2.7.1	GO:0016773
comp127_c0_seq1_FPKM_all:542.721_FPKM_rel:542.721_len:6770_path:[0].2	EC:2.4.1.34	GO:0003843
comp1495_c0_seq1_FPKM_all:184.42_FPKM_rel:184.42_len:1056_path:[0].1	EC:3.4.25	GO:0004298
comp520_c0_seq1_FPKM_all:387.773_FPKM_rel:387.773_len:1994_path:[0].1	EC:2.7.7	GO:0016779
comp774_c0_seq1_FPKM_all:339.79_FPKM_rel:339.79_len:1286_path:[0].1	EC:3.1.1.11	GO:0030599
comp8775_c0_seq2_FPKM_all:9.48_FPKM_rel:7.662_len:789_path:[695,921,930,5092,5107,2785].1	EC:3	GO:0016787
comp9316_c0_seq1_FPKM_all:18.119_FPKM_rel:9.195_len:754_path:[0,62,64,754,664].1	EC:3.1.26.4	GO:0004523
comp11930_c0_seq2_FPKM_all:5.614_FPKM_rel:5.147_len:511_path:[1734,2293,1914].1	EC:2.7.7	GO:0016779
comp10337_c0_seq2_FPKM_all:4.325_FPKM_rel:2.303_len:608_path:[0,203,2862,514,541].1	EC:2.6.1	GO:0008483
comp11454_c0_seq2_FPKM_all:5.325_FPKM_rel:4.195_len:635_path:[466,2305,562,749,1023,1066,1069].1	EC:3.4.16	GO:0004185
comp10929_c0_seq3_FPKM_all:8.592_FPKM_rel:2.197_len:1757_path:[0,1764,225,1031,1065].1	EC:5	GO:0016853
comp11962_c0_seq2_FPKM_all:2.824_FPKM_rel:1.546_len:508_path:[1450,571,579,1340].1	EC:5.3.1.6	GO:0004751
comp11702_c0_seq4_FPKM_all:3.652_FPKM_rel:2.9_len:318_path:[781,4055,4748].1	EC:2.7.7.6	GO:0003899
comp10393_c0_seq2_FPKM_all:5.334_FPKM_rel:4.679_len:365_path:[1598,1125,1150,1272].1	EC:2.1.1	GO:0008168
comp7423_c0_seq1_FPKM_all:24.819_FPKM_rel:24.819_len:1039_path:[0,574].1	EC:3.2.1.14	GO:0004568
comp6745_c0_seq2_FPKM_all:25.561_FPKM_rel:19.796_len:314_path:[641,811,848].1	EC:1	GO:0016491
comp6939_c0_seq2_FPKM_all:28.342_FPKM_rel:14.357_len:1375_path:[0,36,1347,871].1	EC:1	GO:0016491
comp4108_c0_seq3_FPKM_all:48.894_FPKM_rel:30.495_len:336_path:[539,603,650,654].1	EC:3.2.1	GO:0004553
comp15508_c0_seq1_FPKM_all:5.434_FPKM_rel:5.434_len:1565_path:[0].1	EC:3.2.1.15	GO:0004650
comp15081_c0_seq2_FPKM_all:5.282_FPKM_rel:3.181_len:1138_path:[0,527,573,759].2	EC:3	GO:0016787
comp38234_c0_seq1_FPKM_all:1.494_FPKM_rel:1.494_len:343_path:[0].1	EC:1.1.1.25	GO:0004764
comp18790_c0_seq1_FPKM_all:4.583_FPKM_rel:2.888_len:544_path:[0,166,544,208].1	EC:1.11.1.7	GO:0004601
comp30899_c0_seq1_FPKM_all:2.204_FPKM_rel:2.204_len:341_path:[0].1	EC:2.3.1.97	GO:0004379
comp3205_c0_seq1_FPKM_all:64.854_FPKM_rel:64.854_len:1671_path:[0,1805,1106].1	EC:4.2.1.11	GO:0004634
comp2271_c0_seq5_FPKM_all:50.826_FPKM_rel:6.699_len:2024_path:[0,3308,3087,2995,232,1081,1122,1940,1634].2	EC:2	GO:0016740
comp3167_c0_seq1_FPKM_all:70.112_FPKM_rel:70.112_len:663_path:[0,191,195,663,464].1	EC:1	GO:0016491
comp2877_c0_seq2_FPKM_all:41.426_FPKM_rel:8.933_len:3269_path:[0,1325,1439,1446,2559].2	EC:3	GO:0016787
comp3495_c0_seq1_FPKM_all:73.22_FPKM_rel:73.22_len:1530_path:[0].1	EC:1	GO:0016491
comp2172_c0_seq1_FPKM_all:112.358_FPKM_rel:112.358_len:1995_path:[5].1	EC:1.14.99.7	GO:0004506
comp26403_c0_seq1_FPKM_all:2.48_FPKM_rel:2.48_len:427_path:[0].1	EC:3.1	GO:0016788
comp17344_c0_seq2_FPKM_all:4.451_FPKM_rel:3.033_len:1036_path:[0,796].1	EC:1.1	GO:0016614
comp1237_c0_seq1_FPKM_all:151.879_FPKM_rel:151.879_len:1251_path:[0,1450,277,690,712,1251,1058].1	EC:3.4.25	GO:0004298
comp271_c0_seq2_FPKM_all:435.5_FPKM_rel:222.837_len:2662_path:[0,307].2	EC:1	GO:0016491
comp1788_c0_seq1_FPKM_all:86.172_FPKM_rel:43.542_len:2434_path:[0,2068].2	EC:1	GO:0016491
comp830_c0_seq2_FPKM_all:79.189_FPKM_rel:79.045_len:474_path:[1474,2040,1547].1	EC:3.2.1	GO:0004553
comp1064_c0_seq1_FPKM_all:227.808_FPKM_rel:227.808_len:1315_path:[0].1	EC:1	GO:0016491
comp374_c0_seq2_FPKM_all:535.618_FPKM_rel:535.618_len:768_path:[2509,3482,2572,3437,2635].1	EC:2.4.1.1	GO:0004645
comp778_c0_seq1_FPKM_all:237.48_FPKM_rel:237.48_len:2690_path:[0].1	EC:3.5	GO:0016810
comp1625_c0_seq2_FPKM_all:108.394_FPKM_rel:108.394_len:2407_path:[0,3873,1080,3702,2331].2	EC:1.14.13.8	GO:0004499
comp8246_c0_seq4_FPKM_all:16.61_FPKM_rel:8.201_len:658_path:[414,495,2075,870].1	EC:3	GO:0016787
comp8846_c0_seq1_FPKM_all:13.769_FPKM_rel:7.219_len:511_path:[917,3159,1000,4473,1341,1346,2334].1	EC:2.4.1	GO:0016758
comp8982_c0_seq5_FPKM_all:20.985_FPKM_rel:9.846_len:555_path:[2495,3678,2727,3552].1	EC:6.5.1.1	GO:0003910
comp9723_c0_seq3_FPKM_all:14.58_FPKM_rel:4.833_len:841_path:[159,346,371,2108].1	EC:2.3.1	GO:0016747
comp8342_c0_seq1_FPKM_all:17.493_FPKM_rel:17.493_len:1437_path:[0,1557,230,429].2	EC:1	GO:0016491
comp8897_c0_seq2_FPKM_all:12.096_FPKM_rel:3.373_len:881_path:[2165,428,894].1	EC:2.4.1	GO:0016758
comp8566_c0_seq2_FPKM_all:15.417_FPKM_rel:14.171_len:2386_path:[0,615,2650,924].1	EC:1.4.3.21	GO:0008131
comp8566_c0_seq2_FPKM_all:15.417_FPKM_rel:14.171_len:2386_path:[0,615,2650,924].1	EC:1.4.3.22	GO:0008131
comp8566_c0_seq2_FPKM_all:15.417_FPKM_rel:14.171_len:2386_path:[0,615,2650,924].1	EC:1.4.3.4	GO:0008131
comp25676_c0_seq1_FPKM_all:3.457_FPKM_rel:3.457_len:415_path:[0].1	EC:2.7.7.6	GO:0003899
comp25738_c0_seq1_FPKM_all:3.335_FPKM_rel:1.819_len:338_path:[0,24,502].1	EC:1	GO:0016491
comp10220_c0_seq2_FPKM_all:10.18_FPKM_rel:10.18_len:359_path:[415,579,625].1	EC:3	GO:0016787
comp11332_c0_seq1_FPKM_all:13.653_FPKM_rel:13.653_len:798_path:[0].1	EC:1.6.5.3	GO:0008137
comp11517_c0_seq1_FPKM_all:13.938_FPKM_rel:7.041_len:941_path:[0,1225].1	EC:1.1.1.145	GO:0003854
comp10312_c0_seq3_FPKM_all:12.448_FPKM_rel:6.224_len:653_path:[1837,374,828].1	EC:3	GO:0016787
comp10501_c0_seq1_FPKM_all:10.089_FPKM_rel:10.089_len:1977_path:[0].1	EC:3.1.27.1	GO:0033897
comp10774_c0_seq1_FPKM_all:13.263_FPKM_rel:3.79_len:703_path:[275,1063,402,893].1	EC:1.6	GO:0016651
comp6102_c0_seq2_FPKM_all:39.281_FPKM_rel:20.361_len:1399_path:[0,246].2	EC:3.2.1	GO:0004553
comp7194_c0_seq1_FPKM_all:19.157_FPKM_rel:19.157_len:1585_path:[0,1788,480,805,822,1416,1460].1	EC:2.3.1	GO:0016747
comp6013_c0_seq4_FPKM_all:36.314_FPKM_rel:19.115_len:838_path:[1968,1128,1920,3521,1185,1187,1673].1	EC:2.6	GO:0016769
comp6056_c0_seq1_FPKM_all:16.201_FPKM_rel:12.37_len:312_path:[1677,1989,1836].1	EC:6.3.4.2	GO:0003883
comp6668_c0_seq2_FPKM_all:35.27_FPKM_rel:17.808_len:1776_path:[0,268,366].1	EC:3.1.3.2	GO:0003993
comp7327_c0_seq12_FPKM_all:7.152_FPKM_rel:2.296_len:1934_path:[0,554,7201,1172,7153,1407,6909,6492].1	EC:3.6.3	GO:0016820
comp4380_c0_seq1_FPKM_all:35.386_FPKM_rel:33.87_len:1803_path:[232,366,370,2319,448,2068,1200].1	EC:3.1.4.46	GO:0008889
comp5502_c0_seq4_FPKM_all:28.927_FPKM_rel:19.275_len:1150_path:[836,2106,989,2883].1	EC:6.3.2.19	GO:0004842
comp14235_c0_seq2_FPKM_all:5.309_FPKM_rel:2.798_len:1782_path:[0,85,86,1613,266,641].2	EC:2.3.1	GO:0016747
comp19924_c0_seq1_FPKM_all:3.924_FPKM_rel:3.924_len:766_path:[0,576,578].1	EC:3.6.1	GO:0016818
comp18922_c0_seq1_FPKM_all:4.134_FPKM_rel:4.134_len:1041_path:[0].1	EC:3.4.16	GO:0004185
comp12958_c0_seq1_FPKM_all:8.019_FPKM_rel:8.019_len:2500_path:[0,826].1	EC:3.2.1	GO:0004553
comp13291_c0_seq1_FPKM_all:8.686_FPKM_rel:8.686_len:924_path:[0,733,744].1	EC:6.3.5	GO:0016884
comp31739_c0_seq1_FPKM_all:3.006_FPKM_rel:3.006_len:500_path:[0].1	EC:3.4.24	GO:0004222
comp2649_c0_seq1_FPKM_all:105.097_FPKM_rel:105.097_len:1245_path:[0].1	EC:3.1	GO:0016788
comp3018_c0_seq4_FPKM_all:37.612_FPKM_rel:14.002_len:8140_path:[0,9,7849,6247,7679,6320,7602,6524].7	EC:4.1	GO:0016830
comp2178_c0_seq1_FPKM_all:143.006_FPKM_rel:143.006_len:2117_path:[0].1	EC:3.4.16	GO:0004185
comp28903_c0_seq1_FPKM_all:2.245_FPKM_rel:2.245_len:426_path:[0].1	EC:2.4	GO:0016757
comp28644_c0_seq1_FPKM_all:2.403_FPKM_rel:2.403_len:398_path:[0].1	EC:2.3	GO:0016746
comp17374_c0_seq1_FPKM_all:6.373_FPKM_rel:6.373_len:1029_path:[0].1	EC:2.4.1	GO:0016758
comp17055_c0_seq1_FPKM_all:4.438_FPKM_rel:2.303_len:1824_path:[0,1148].1	EC:2.4	GO:0016757
comp1652_c0_seq1_FPKM_all:171.006_FPKM_rel:171.006_len:728_path:[588,709,745,1145,1192].1	EC:1	GO:0016491
comp1221_c0_seq1_FPKM_all:161.467_FPKM_rel:161.467_len:2052_path:[0].1	EC:1	GO:0016491
comp527_c0_seq1_FPKM_all:409.435_FPKM_rel:409.435_len:2051_path:[0].1	EC:5.3.1.9	GO:0004347
comp593_c0_seq1_FPKM_all:241.416_FPKM_rel:124.595_len:2983_path:[0,2801,269].2	EC:3.5	GO:0016810
comp957_c0_seq1_FPKM_all:145.17_FPKM_rel:145.17_len:3594_path:[0,526].1	EC:6.3.2	GO:0016881
comp830_c0_seq3_FPKM_all:320.091_FPKM_rel:160.61_len:363_path:[175,385,392].1	EC:3.2.1	GO:0004553
comp8246_c0_seq5_FPKM_all:11.72_FPKM_rel:6.57_len:577_path:[1581,2134,1778,1803,1443,870].1	EC:3	GO:0016787
comp8726_c0_seq2_FPKM_all:16.241_FPKM_rel:3.885_len:2778_path:[0,472,3665,2483,3719].2	EC:3.5.1	GO:0016811
comp9358_c0_seq1_FPKM_all:12.433_FPKM_rel:12.433_len:1673_path:[0].1	EC:1.14.13.8	GO:0004499
comp8897_c0_seq3_FPKM_all:5.092_FPKM_rel:1.802_len:436_path:[1945,1051,2592,1076].1	EC:2.4.1	GO:0016758
comp33189_c0_seq1_FPKM_all:2.432_FPKM_rel:2.432_len:632_path:[465,24,76].1	EC:2.7.7.6	GO:0003899
comp24816_c0_seq1_FPKM_all:3.386_FPKM_rel:3.386_len:696_path:[0].1	EC:3.1.1.11	GO:0030599
comp25738_c0_seq2_FPKM_all:3.24_FPKM_rel:1.927_len:390_path:[0,24,333].1	EC:1	GO:0016491
comp35830_c0_seq1_FPKM_all:1.83_FPKM_rel:1.83_len:392_path:[0].1	EC:1	GO:0016491
comp34878_c0_seq1_FPKM_all:1.784_FPKM_rel:1.784_len:383_path:[0].1	EC:2.4.1	GO:0016758
comp35639_c0_seq1_FPKM_all:2.192_FPKM_rel:2.192_len:374_path:[0].1	EC:2.6	GO:0016769
comp11377_c0_seq1_FPKM_all:14.399_FPKM_rel:14.399_len:778_path:[471,632,657].1	EC:3.1.26.4	GO:0004523
comp10064_c0_seq1_FPKM_all:10.115_FPKM_rel:5.4_len:2296_path:[0,1980].2	EC:2.4	GO:0016757
comp11517_c0_seq2_FPKM_all:14.103_FPKM_rel:8.797_len:1223_path:[0,918].1	EC:1.1.1.145	GO:0003854
comp5659_c0_seq1_FPKM_all:21.661_FPKM_rel:15.113_len:339_path:[1100,2188,1329].1	EC:2.7.2.3	GO:0004618
comp4248_c0_seq1_FPKM_all:44.973_FPKM_rel:22.542_len:3700_path:[0,3638,1464].2	EC:6.3.2.2	GO:0004357
comp15907_c0_seq1_FPKM_all:5.16_FPKM_rel:5.16_len:1145_path:[0,201,204,1196,510].1	EC:1.14.17.1	GO:0004500
comp15238_c0_seq1_FPKM_all:6.333_FPKM_rel:6.333_len:1440_path:[0].1	EC:1.13.11.5	GO:0004411
comp18314_c0_seq1_FPKM_all:4.876_FPKM_rel:4.876_len:1471_path:[0,1471,1202].2	EC:1	GO:0016491
comp18714_c0_seq1_FPKM_all:5.465_FPKM_rel:2.871_len:1475_path:[0,268,437,850,875,1472,1283].2	EC:1	GO:0016491
comp12383_c0_seq1_FPKM_all:3.863_FPKM_rel:2.779_len:725_path:[736,835,4049,876,887,1045,3096,1396].1	EC:3.2.1.45	GO:0004348
comp31471_c0_seq1_FPKM_all:2.586_FPKM_rel:2.586_len:317_path:[0].1	EC:1	GO:0016491
comp3260_c0_seq1_FPKM_all:73.055_FPKM_rel:62.914_len:842_path:[482,667,701,1665,1238].2	EC:3	GO:0016787
comp2834_c0_seq1_FPKM_all:96.088_FPKM_rel:96.088_len:1859_path:[0,280,1931,1318].1	EC:2.3.3	GO:0046912
comp2585_c0_seq1_FPKM_all:89.532_FPKM_rel:89.532_len:2216_path:[0].1	EC:1	GO:0016491
comp2026_c0_seq4_FPKM_all:114.119_FPKM_rel:57.772_len:671_path:[0,582,2932].1	EC:2.4.1	GO:0016758
comp26109_c0_seq1_FPKM_all:3.234_FPKM_rel:3.234_len:507_path:[0].1	EC:2.1.1	GO:0008168
comp29632_c0_seq1_FPKM_all:2.632_FPKM_rel:2.632_len:571_path:[0].1	EC:3	GO:0016787
comp16457_c0_seq4_FPKM_all:2.468_FPKM_rel:1.579_len:346_path:[0,271].1	EC:1	GO:0016491
comp910_c0_seq1_FPKM_all:248.908_FPKM_rel:248.908_len:1404_path:[0].1	EC:3.2.1	GO:0004553
comp9559_c0_seq1_FPKM_all:11.358_FPKM_rel:6.239_len:427_path:[0,340].1	EC:2.3.2.2	GO:0003840
comp8846_c0_seq2_FPKM_all:15.005_FPKM_rel:7.907_len:717_path:[241,3995,400,3647,3297,917].2	EC:2.4.1	GO:0016758
comp9386_c0_seq3_FPKM_all:14.366_FPKM_rel:8.217_len:611_path:[384,2350,2380,519,2223,888,942].1	EC:1	GO:0016491
comp8897_c0_seq4_FPKM_all:17.561_FPKM_rel:6.477_len:1023_path:[0,428,894].1	EC:2.4.1	GO:0016758
comp37306_c0_seq1_FPKM_all:1.713_FPKM_rel:1.713_len:339_path:[0].1	EC:1	GO:0016491
comp25424_c0_seq1_FPKM_all:4.132_FPKM_rel:4.132_len:372_path:[0].1	EC:2.7.1.107	GO:0004143
comp34457_c0_seq1_FPKM_all:1.455_FPKM_rel:1.455_len:352_path:[0].1	EC:3.4.21	GO:0004252
comp35612_c0_seq1_FPKM_all:1.891_FPKM_rel:1.891_len:307_path:[0].1	EC:3.2.1	GO:0004553
comp11377_c0_seq2_FPKM_all:9.934_FPKM_rel:9.934_len:471_path:[0,1374,411,441].1	EC:3.1.26.4	GO:0004523
comp10774_c0_seq2_FPKM_all:13.224_FPKM_rel:3.853_len:718_path:[275,360,402,990,893].2	EC:1.6	GO:0016651
comp10212_c0_seq1_FPKM_all:12.546_FPKM_rel:12.546_len:1323_path:[0].2	EC:3.1.2.22	GO:0008474
comp6051_c0_seq1_FPKM_all:19.44_FPKM_rel:9.875_len:1214_path:[2320,1121].1	EC:3.1.1.3	GO:0004806
comp6013_c0_seq5_FPKM_all:35.213_FPKM_rel:18.034_len:839_path:[1968,1128,1920,3521,1185,1187,1872,1673].1	EC:2.6	GO:0016769
comp6056_c0_seq3_FPKM_all:27.801_FPKM_rel:21.557_len:629_path:[1197,2112,1404,1634,1677].1	EC:6.3.4.2	GO:0003883
comp6243_c0_seq2_FPKM_all:34.961_FPKM_rel:34.477_len:1482_path:[0,3146,146,3056,475,1353,1363].1	EC:4.2.1.10	GO:0003855
comp4951_c0_seq1_FPKM_all:54.153_FPKM_rel:51.396_len:830_path:[311,506,519,821,828].1	EC:1	GO:0016491
comp4896_c0_seq2_FPKM_all:35.628_FPKM_rel:18.005_len:3477_path:[0,396,3633].2	EC:3	GO:0016787
comp5659_c0_seq2_FPKM_all:25.714_FPKM_rel:15.245_len:522_path:[0,2910].1	EC:2.7.2.3	GO:0004618
comp15719_c0_seq1_FPKM_all:8.266_FPKM_rel:8.266_len:1033_path:[0,1575,278,1482,680,1443,971].1	EC:3.1.3.2	GO:0003993
comp15238_c0_seq1_FPKM_all:6.333_FPKM_rel:6.333_len:1440_path:[0].2	EC:1.13.11.5	GO:0004411
comp19221_c0_seq1_FPKM_all:4.46_FPKM_rel:4.46_len:1631_path:[0,274,324].1	EC:1.1.1.267	GO:0030604
comp18359_c0_seq1_FPKM_all:3.955_FPKM_rel:3.955_len:1183_path:[0,986].1	EC:3.2.1	GO:0004553
comp21806_c0_seq1_FPKM_all:3.9_FPKM_rel:3.9_len:937_path:[0].1	EC:4	GO:0016829
comp12383_c0_seq2_FPKM_all:3.512_FPKM_rel:2.341_len:671_path:[3385,835,3226,1045,3096,1396].1	EC:3.2.1.45	GO:0004348
comp13034_c0_seq1_FPKM_all:13.981_FPKM_rel:13.981_len:364_path:[1].1	EC:2.4.1	GO:0016758
comp13541_c0_seq1_FPKM_all:9.226_FPKM_rel:9.226_len:696_path:[0].1	EC:2.7.7.4	GO:0004781
comp2271_c0_seq6_FPKM_all:91.072_FPKM_rel:22.496_len:1913_path:[0,232,1081,2813].1	EC:2	GO:0016740
